"side","category","vanilla_id","file","reason","observation_type"
"resource","blockstates","minecraft:blockstates/allium.json","assets/minecraft/blockstates/allium.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/bedrock_buster.json","assets/minecraft/blockstates/bedrock_buster.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/brick_slab.json","assets/minecraft/blockstates/brick_slab.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/carrots.json","assets/minecraft/blockstates/carrots.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/coarse_dirt.json","assets/minecraft/blockstates/coarse_dirt.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/dandelion.json","assets/minecraft/blockstates/dandelion.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/dark_oak_slab.json","assets/minecraft/blockstates/dark_oak_slab.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/dead_bush.json","assets/minecraft/blockstates/dead_bush.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/dirt.json","assets/minecraft/blockstates/dirt.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/glow_lichen.json","assets/minecraft/blockstates/glow_lichen.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/golden_dandelion.json","assets/minecraft/blockstates/golden_dandelion.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/granite_slab.json","assets/minecraft/blockstates/granite_slab.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/gravel.json","assets/minecraft/blockstates/gravel.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/lily_of_the_valley.json","assets/minecraft/blockstates/lily_of_the_valley.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/lily_pad.json","assets/minecraft/blockstates/lily_pad.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/oak_trapdoor.json","assets/minecraft/blockstates/oak_trapdoor.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/oxeye_daisy.json","assets/minecraft/blockstates/oxeye_daisy.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/petrified_oak_slab.json","assets/minecraft/blockstates/petrified_oak_slab.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/podzol.json","assets/minecraft/blockstates/podzol.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/polished_diorite_slab.json","assets/minecraft/blockstates/polished_diorite_slab.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/polished_granite_slab.json","assets/minecraft/blockstates/polished_granite_slab.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/potatoes.json","assets/minecraft/blockstates/potatoes.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/potted_allium.json","assets/minecraft/blockstates/potted_allium.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/potted_dandelion.json","assets/minecraft/blockstates/potted_dandelion.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/rooted_dirt.json","assets/minecraft/blockstates/rooted_dirt.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/short_grass.json","assets/minecraft/blockstates/short_grass.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/smooth_red_sandstone_slab.json","assets/minecraft/blockstates/smooth_red_sandstone_slab.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/spruce_slab.json","assets/minecraft/blockstates/spruce_slab.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/warding_stone.json","assets/minecraft/blockstates/warding_stone.json","observed file is placed in the minecraft namespace","observed"
"resource","blockstates","minecraft:blockstates/wheat.json","assets/minecraft/blockstates/wheat.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/amber_earrings.json","assets/minecraft/equipment/amber_earrings.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/bronze.json","assets/minecraft/equipment/bronze.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/bronze_elytra.json","assets/minecraft/equipment/bronze_elytra.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/bronze_laurel.json","assets/minecraft/equipment/bronze_laurel.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/electrum.json","assets/minecraft/equipment/electrum.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/opal_earrings.json","assets/minecraft/equipment/opal_earrings.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/ruby_circlet.json","assets/minecraft/equipment/ruby_circlet.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/shakudo.json","assets/minecraft/equipment/shakudo.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/shakudo_elytra.json","assets/minecraft/equipment/shakudo_elytra.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/steel.json","assets/minecraft/equipment/steel.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/sturdy_leather.json","assets/minecraft/equipment/sturdy_leather.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/topaz_earrings.json","assets/minecraft/equipment/topaz_earrings.json","observed file is placed in the minecraft namespace","observed"
"resource","equipment","minecraft:equipment/vermeil.json","assets/minecraft/equipment/vermeil.json","observed file is placed in the minecraft namespace","observed"
"resource","fonts","minecraft:font/default.json","assets/minecraft/font/default.json","observed file is placed in the minecraft namespace","observed"
"resource","item-definitions","minecraft:items/abbey_map.json","assets/minecraft/items/abbey_map.json","observed file is placed in the minecraft namespace","observed"
"resource","item-definitions","minecraft:items/adamant_claymore.json","assets/minecraft/items/adamant_claymore.json","observed file is placed in the minecraft namespace","observed"
"resource","item-definitions","minecraft:items/adamant_dolabra.json","assets/minecraft/items/adamant_dolabra.json","observed file is placed in the minecraft namespace","observed"
"resource","item-definitions","minecraft:items/adamant_mattock.json","assets/minecraft/items/adamant_mattock.json","observed file is placed in the minecraft namespace","observed"
"resource","item-definitions","minecraft:items/alaska_blackfish.json","assets/minecraft/items/alaska_blackfish.json","observed file is placed in the minecraft namespace","observed"
"resource","item-definitions","minecraft:items/amber.json","assets/minecraft/items/amber.json","observed file is placed in the minecraft namespace","observed"
"resource","item-definitions","minecraft:items/amber_earrings.json","assets/minecraft/items/amber_earrings.json","observed file is placed in the minecraft namespace","observed"
"resource","item-definitions","minecraft:items/amnestic.json","assets/minecraft/items/amnestic.json","observed file is placed in the minecraft namespace","observed"
"resource","item-definitions","minecraft:items/amnestic_wrapped.json","assets/minecraft/items/amnestic_wrapped.json","observed file is placed in the minecraft namespace","observed"
